0.14,0.6,5.00005
0.125,0.583333,12.5
0.11,0.566667,20
0.0950004,0.55,27.5
0.0800006,0.533334,35
0.0650008,0.516668,42.5
0.0500009,0.500001,50
0.108329,0.549996,58.3333
0.166662,0.599996,66.6667
0.224995,0.649996,75
0.283327,0.699995,83.3333
0.34166,0.749995,91.6667
0.399993,0.799994,100
0.449994,0.666684,88.3357
0.499993,0.533352,76.6691
0.549993,0.40002,65.0024
0.599992,0.266688,53.3357
0.649992,0.133356,41.6691
0.699991,2.40E-05,30.0024
0.633346,0.033327,32.4999
0.56668,0.06666,34.9999
0.500014,0.099993,37.4999
0.433348,0.133326,39.9998
0.366682,0.166659,42.4998
0.300016,0.199992,44.9999
0.3,0.2,45.0005
0.3,0.2,45.0005
0.3,0.2,45.0005
0.3,0.2,45.0005
0.3,0.2,45.0005
